review_id,user_name,userImage,review_description,rating,thumbs_up,reviewCreatedVersion,review_date,developer_response,developer_response_date,appVersion
94c708f9-2ca8-4891-94be-8834542343a7,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"DO NOT EVER BUY ON THIS GAME after making a purchase you'll lose the ability to earn for free they take away ability to watch ads for gems, surveys and offers it's a total scam. I've played this game since the first version and you penalize me for paying you money?!?!... DISGUSTING!!!!!!!!",1,2,,2025-03-16 20:29:19,"We're sorry to hear you feel this way. 😔 Watching ads and completing offers for gems shouldn't be affected by purchases. If you're experiencing issues, please contact us at support@nanobit.com so we can investigate and assist you. 💌",2025-03-18 16:07:10,
6ecc9d26-63ef-4ae8-aee3-865107d9d8b3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,the amount of money I went through to be able to have fun is not worth it.. would be much better if for once it wasn't money scheme then it would be a game I would consistently stay on sure there's free options but it's never enough because every choice is over 100 to 250 an you only get so much as 20 diamonds.. nope unistallling,2,0,3.3,2025-03-15 06:51:51,"We’re sorry to hear that you feel this way. 💔 We strive to balance free and premium content, and we truly appreciate your feedback. If you have any suggestions on how we can improve, feel free to share—we’d love to hear them! 😊",2025-03-18 16:08:06,3.3
7fa85707-a10f-420c-abfe-d8f0f662be71,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Only thing I don't like is that you have to spend too many gems to open things like pics and videos/audios. You don't earn enough in one day to open just one? Other than that...I love the stories 😁,3,0,3.3,2025-03-14 06:36:40,"We're glad you love the stories! 😊🎉 We understand that gem costs can feel high, and we appreciate your feedback. We're always looking for ways to improve the experience, so thanks for sharing your thoughts! 💎💖",2025-03-18 16:08:23,3.3
da8d6861-b9b8-4ac4-bbb4-77af5bb89127,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The game is nice, but It would be much nicer and fun if you added a category to have access to ad's free money.",3,0,,2025-03-13 21:06:42,"Glad you're enjoying the game! 😊 We appreciate your suggestion and will share it with the team. Thanks for your feedback! 💖🎮
",2025-03-18 16:08:43,
75e529f6-0774-4536-9666-ea66aadfd07f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Super steamy! It's downright addictive!,5,0,3.3,2025-03-13 03:44:53,,,3.3
e627b1b8-4274-47c6-be49-bb26ec02cec6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,it's good but you run out of love hearts too fast to keep conversation,4,0,3.3,2025-03-12 15:46:45,,,3.3
76c33941-5c77-4c92-bd23-26ea4c6cc233,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awe cute,4,0,3.3,2025-03-12 00:13:02,,,3.3
07895f04-377b-437a-b29f-c4efc6674779,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This is my 2nd dating game, and so far it is quite good, fresh story plots and match. The downside of it is how much diamonds you have to use to unlock the tasks especially the clothes. Seems like there is no other choice to continue play but to spend money on it, which is not that favorable to me. You need to spend so much, but you only rewarded so little. I know you need to make profit from the game, but I do believe you can get more players if you reduce the spending in the game.",4,0,3.3,2025-03-10 15:30:36,"We're happy to hear you're enjoying the stories and matches! 💕 We understand that diamond costs can be a challenge, and we truly appreciate your feedback. Our team is always looking for ways to improve the experience, so we'll keep this in mind! Thanks for sharing your thoughts! 💎😊",2025-03-18 19:33:00,3.3
1386e29e-2c12-4b2f-8252-3346102b2215,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Fun. A bit addictive but you have to pay money for extra gems A LOT. too pricey for me,3,0,3.3,2025-03-10 03:25:39,"We're happy to hear you're enjoying the game! 💕 We understand that diamond costs can be a concern, and we appreciate your feedback. We'll keep it in mind for future improvements! 😊✨",2025-03-18 16:09:47,3.3
24c2d1d8-999a-4db0-8044-9e5083400192,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I helps me let my imagination flight, I can do and say things I will not even dream to on real live but that am curious of. I can live my fantasies.",5,0,3.3,2025-03-09 02:08:20,,,3.3
